15	10	E	-6219387.628994513	122
emissionprobs	7	0	H3K27ac	0	0.7427076982442388
emissionprobs	7	0	H3K27ac	1	0.2572923017557613
emissionprobs	7	1	H3K27me3	0	0.9998703701444195
emissionprobs	7	1	H3K27me3	1	1.2962985558051906E-4
emissionprobs	7	2	H3K36me3	0	0.8534553311652607
emissionprobs	7	2	H3K36me3	1	0.14654466883473932
emissionprobs	7	3	H3K4me1	0	0.19165169740842805
emissionprobs	7	3	H3K4me1	1	0.8083483025915719
emissionprobs	7	4	H3K4me2	0	0.6698586970660865
emissionprobs	7	4	H3K4me2	1	0.33014130293391364
emissionprobs	7	5	H3K4me3	0	0.9859120760277374
emissionprobs	7	5	H3K4me3	1	0.014087923972262521
emissionprobs	7	6	H3K79me2	0	0.1287959453624842
emissionprobs	7	6	H3K79me2	1	0.8712040546375158
emissionprobs	7	7	H3K9ac	0	0.955801634756123
emissionprobs	7	7	H3K9ac	1	0.04419836524387701
emissionprobs	7	8	H3K9me1	0	0.9724521694937992
emissionprobs	7	8	H3K9me1	1	0.027547830506200865
emissionprobs	7	9	H4K20me1	0	0.9134542373256883
emissionprobs	7	9	H4K20me1	1	0.08654576267431162
emissionprobs	8	0	H3K27ac	0	0.3467626410829782
emissionprobs	8	0	H3K27ac	1	0.6532373589170218
emissionprobs	8	1	H3K27me3	0	0.9983119837789138
emissionprobs	8	1	H3K27me3	1	0.0016880162210860658
emissionprobs	8	2	H3K36me3	0	0.8911393556976984
emissionprobs	8	2	H3K36me3	1	0.10886064430230163
emissionprobs	8	3	H3K4me1	0	0.04069689673031189
emissionprobs	8	3	H3K4me1	1	0.959303103269688
emissionprobs	8	4	H3K4me2	0	0.010389579045056652
emissionprobs	8	4	H3K4me2	1	0.9896104209549433
emissionprobs	8	5	H3K4me3	0	0.25010530002461695
emissionprobs	8	5	H3K4me3	1	0.749894699975383
emissionprobs	8	6	H3K79me2	0	0.05857114573773462
emissionprobs	8	6	H3K79me2	1	0.9414288542622654
emissionprobs	8	7	H3K9ac	0	0.31714041783942615
emissionprobs	8	7	H3K9ac	1	0.6828595821605739
emissionprobs	8	8	H3K9me1	0	0.9786870567694078
emissionprobs	8	8	H3K9me1	1	0.021312943230592202
emissionprobs	8	9	H4K20me1	0	0.9227299694492188
emissionprobs	8	9	H4K20me1	1	0.07727003055078116
emissionprobs	9	0	H3K27ac	0	0.004378814873822479
emissionprobs	9	0	H3K27ac	1	0.9956211851261776
